,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
119,9,61,USA,f,married,y,50122,24h,Went to the grocery store to purchase lamb chops which I cooked for my wife and myself for dinner. ,Went to the grocery store to purchase lamb chops which I cooked for my wife and myself for dinner. ,True,1,affection,affection,1
168,15,27,USA,m,married,y,50448,24h,All my family members give me surprise party on my birthday party occasion early morning its a happiest moment for me,All my family members give me surprise party on my birthday party occasion early morning its a happiest moment for me,True,1,affection,affection,1
169,15,27,USA,m,married,y,52526,24h,Last night my brother gift me silver chain on my birthday occasion its happiest event for me.,Last night my brother gift me silver chain on my birthday occasion its happiest event for me.,True,1,affection,affection,1
170,15,27,USA,m,married,y,55114,24h,Last night my brother gift me gold chain on my birthday occasion its happiest event for me.,Last night my brother gift me gold chain on my birthday occasion its happiest event for me.,True,1,affection,affection,1
171,15,27,USA,m,married,y,56114,24h,All my family members give me surprise party on my birthday party occasion early morning its a happiest moment for me,All my family members give me surprise party on my birthday party occasion early morning its a happiest moment for me,True,1,affection,affection,1
173,15,27,USA,m,married,y,89137,3m,Last month my Wife gift me a multimedia mobile this is fantastic gift for me and its happiest event for me.,Last month my Wife gift me a multimedia mobile this is fantastic gift for me and its happiest event for me.,True,1,affection,affection,1
174,15,27,USA,m,married,y,105809,3m,"My big brother give a golden watch on my birthday as gift its a first gift from him, thats why its a happiest event for me.","My big brother give a golden watch on my birthday as gift its a first gift from him, thats why its a happiest event for me.",True,1,affection,affection,1
175,15,27,USA,m,married,y,107554,3m,My mother gift me a golden chain on my birthday its a happiest moment for me.,My mother gift me a golden chain on my birthday its a happiest moment for me.,True,1,affection,affection,1
206,20,40,USA,m,married,y,80357,3m,My oldest son is graduating from his university with honors.,My oldest son is graduating from his university with honors.,True,1,affection,affection,1
207,20,40,USA,m,married,y,82558,3m,"My sister had her second baby, so I am an uncle again!","My sister had her second baby, so I am an uncle again!",True,1,affection,affection,1
268,27,28,USA,m,married,y,30071,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
270,27,28,USA,m,married,y,32819,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
272,27,28,USA,m,married,y,34071,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
274,27,28,USA,m,married,y,36526,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
276,27,28,USA,m,married,y,37651,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
278,27,28,USA,m,married,y,41154,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
280,27,28,USA,m,married,y,44302,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
282,27,28,USA,m,married,y,46971,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
284,27,28,USA,m,married,y,49518,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
286,27,28,USA,m,married,y,52513,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
288,27,28,USA,m,married,y,59345,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
290,27,28,USA,m,married,y,68682,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
292,27,28,USA,m,married,y,73804,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
294,27,28,USA,m,married,y,80199,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
296,27,28,USA,m,married,y,83183,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
298,27,28,USA,m,married,y,88868,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
300,27,28,USA,m,married,y,91935,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
302,27,28,USA,m,married,y,101248,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
304,27,28,USA,m,married,y,103614,3m,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
306,27,28,USA,m,married,y,109512,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
308,27,28,USA,m,married,y,118502,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
310,27,28,USA,m,married,y,122204,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
312,27,28,USA,m,married,y,127372,24h,My wife gave birth to a baby boy and this made me happy.,My wife gave birth to a baby boy and this made me happy.,True,1,affection,affection,1
335,30,37,USA,m,married,y,29606,24h,"I made plans with my brother to get together this weekend to watch the Final Four.  My nephew could win $700, because he has Gonzaga beating Oregon in the championship game.","I made plans with my brother to get together this weekend to watch the Final Four.  My nephew could win $700, because he has Gonzaga beating Oregon in the championship game.",True,2,affection,affection,1
339,30,37,USA,m,married,y,95715,3m,I took my wife and children to the zoo for Mothers Day.,I took my wife and children to the zoo for Mothers Day.,True,1,affection,affection,1
340,30,37,USA,m,married,y,96715,3m,My wife was happy with everything she got for Mothers Day.,My wife was happy with everything she got for Mothers Day.,True,1,affection,affection,1
341,30,37,USA,m,married,y,101689,3m,I am going to have dinner at my parents house tomorrow night.,I am going to have dinner at my parents house tomorrow night.,True,1,affection,affection,1
342,30,37,USA,m,married,y,103710,3m,My sister had successful gall bladder surgery with no issues.,My sister had successful gall bladder surgery with no issues.,True,1,affection,affection,1
347,31,31,USA,f,married,n,43623,24h,I held my cat and I gave it a nice pet. ,I held my cat and I gave it a nice pet. ,True,1,affection,affection,1
348,31,31,USA,f,married,n,48071,24h,I had a joking conversation with my husband.,I had a joking conversation with my husband.,True,1,affection,affection,1
350,31,31,USA,f,married,n,67938,3m,We were planning on going through with a new job and just the thought having more money made me and my spouse happy.,We were planning on going through with a new job and just the thought having more money made me and my spouse happy.,True,1,affection,affection,1
353,31,31,USA,f,married,n,91410,3m,I had a chat with my husband in the car today and it was nice.,I had a chat with my husband in the car today and it was nice.,True,1,affection,affection,1
509,47,41,USA,m,married,n,52079,24h,I booked a vacation to Florida for my wife and I.,I booked a vacation to Florida for my wife and I.,True,1,affection,affection,1
512,47,41,USA,m,married,n,96497,3m,I had a nice steak dinner with my wife and friends at a great restaurant,I had a nice steak dinner with my wife and friends at a great restaurant,True,1,affection,affection,1
513,47,41,USA,m,married,n,100473,3m,My wife and I went dancing at a local club and had a great time,My wife and I went dancing at a local club and had a great time,True,1,affection,affection,1
515,47,41,USA,m,married,n,112663,24h,I enjoyed a nice dinner with my wife at a pizza place,I enjoyed a nice dinner with my wife at a pizza place,True,1,affection,affection,1
516,47,41,USA,m,married,n,121685,24h,My wife bought a new watch that I wanted.,My wife bought a new watch that I wanted.,True,1,affection,affection,1
521,48,57,USA,f,married,n,100620,3m,A dicey situation at my husband's job was finally resolved in a positive way.,A dicey situation at my husband's job was finally resolved in a positive way.,True,1,affection,affection,1
522,48,57,USA,f,married,n,113779,24h,Hubby and I had a delicious lunch and a lovely hour together.,Hubby and I had a delicious lunch and a lovely hour together.,True,1,affection,affection,1
525,49,35,USA,m,married,n,50180,24h,I cooked dinner for my wife and she said it tasted really good.,I cooked dinner for my wife and she said it tasted really good.,True,1,affection,affection,1
528,49,35,USA,m,married,n,99416,3m,I went to my nephew's first little league baseball game last week. He is 5 years old and it's suprising at how time went by so quickly and how much he's grown.,I went to my nephew's first little league baseball game last week. He is 5 years old and it's suprising at how time went by so quickly and how much he's grown.,True,2,affection,affection,1
607,58,38,USA,m,married,n,45465,24h,love to my wife,love to my wife,True,1,affection,affection,1
657,64,48,USA,f,married,y,53777,24h,"My daughter sent me an article entitled ""15 Reasons You Know Your Mom is Your Best Friend"". Knowing that she feels that way meant more to her than she will ever realize. ","My daughter sent me an article entitled ""15 Reasons You Know Your Mom is Your Best Friend"". Knowing that she feels that way meant more to her than she will ever realize. ",True,2,affection,affection,1
658,64,48,USA,f,married,y,67847,3m,"After fracturing his jaw, my puppy got his muzzle off and the vet said he was completely healed. ","After fracturing his jaw, my puppy got his muzzle off and the vet said he was completely healed. ",True,1,affection,affection,1
659,64,48,USA,f,married,y,76095,3m,My girls had the same spring break so we were able to go on a family vacation.,My girls had the same spring break so we were able to go on a family vacation.,True,1,affection,affection,1
660,64,48,USA,f,married,y,78091,3m,My girls really connected on vacation and got along better than they ever have!,My girls really connected on vacation and got along better than they ever have!,True,1,affection,affection,1
661,64,48,USA,f,married,y,95602,3m,My husband and I got to treated to dinner at a really nice steakhouse as he had helped a friend out. ,My husband and I got to treated to dinner at a really nice steakhouse as he had helped a friend out. ,True,1,affection,affection,1
663,64,48,USA,f,married,y,109059,3m,My puppy cuddled up on the couch and fell asleep with me for an hour today. ,My puppy cuddled up on the couch and fell asleep with me for an hour today. ,True,1,affection,affection,1
687,67,44,USA,m,married,y,59513,3m,My daughter was accepted into her school of choice for grad studies in new york city,My daughter was accepted into her school of choice for grad studies in new york city,True,1,affection,affection,1
691,67,44,USA,m,married,y,87402,3m,My daughter's pet dog took ill and we were concerned it was something serious but the vet ran some tests and found only a minor problem that was quickly fixed with some medicine.,My daughter's pet dog took ill and we were concerned it was something serious but the vet ran some tests and found only a minor problem that was quickly fixed with some medicine.,True,1,affection,affection,1
706,69,23,USA,m,married,y,38588,24h,I m very happy when me and my wife go to cinema hall for watching new movie.,I m very happy when me and my wife go to cinema hall for watching new movie.,True,1,affection,affection,1
707,69,23,USA,m,married,y,80939,3m,I am very happy when my wife got a new job as per her requirement.,I am very happy when my wife got a new job as per her requirement.,True,1,affection,affection,1
763,73,38,USA,f,married,y,30888,24h,I received flowers from my partner today.,I received flowers from my partner today.,True,1,affection,affection,1
764,73,38,USA,f,married,y,36818,24h,My son learned how to ride his hover board by himself and express self pride for figuring it out. ,My son learned how to ride his hover board by himself and express self pride for figuring it out. ,True,1,affection,affection,1
831,78,28,USA,f,married,y,38660,24h,My boyfriends brought me rose this morning and it's not even my birthday.,My boyfriends brought me rose this morning and it's not even my birthday.,True,1,affection,affection,1
833,78,28,USA,f,married,y,68639,3m,Spending my birthday with families in LA is awesome.,Spending my birthday with families in LA is awesome.,True,1,affection,affection,1
834,78,28,USA,f,married,y,100074,3m,My husband and I went to Disneyland and had an amazing day.,My husband and I went to Disneyland and had an amazing day.,True,1,affection,affection,1
835,78,28,USA,f,married,y,105520,3m,A long lost cousin contacted me on facebook. I though I was never going to hear from him again.,A long lost cousin contacted me on facebook. I though I was never going to hear from him again.,True,2,affection,affection,1
879,84,32,USA,m,married,y,100802,3m,My 9 month old daughter had her first tooth come in without any fussiness or fever.,My 9 month old daughter had her first tooth come in without any fussiness or fever.,True,1,affection,affection,1
881,84,32,USA,m,married,y,113000,24h,Put my 9 month old daughter to bed without any fussiness or issues.,Put my 9 month old daughter to bed without any fussiness or issues.,True,1,affection,affection,1
882,84,32,USA,m,married,y,114000,24h,My wife cooked dinner without my knowing and it was delicious.,My wife cooked dinner without my knowing and it was delicious.,True,1,affection,affection,1
884,84,32,USA,m,married,y,121431,24h,My father came over to my house and bought me some cooked food that was really good.,My father came over to my house and bought me some cooked food that was really good.,True,1,affection,affection,1
925,88,46,USA,f,married,y,104549,3m,When I took the kids to the park and they went fishing.,When I took the kids to the park and they went fishing.,True,1,affection,affection,1
926,88,46,USA,f,married,y,115006,24h,I was happy when I talked to my dad and he said everything was going to be ok.,I was happy when I talked to my dad and he said everything was going to be ok.,True,1,affection,affection,1
949,92,54,USA,f,married,y,44819,24h,Talked to my daughter on the phone,Talked to my daughter on the phone,True,1,affection,affection,1
951,92,54,USA,f,married,y,51259,24h,Talked to my daughter on the phone,Talked to my daughter on the phone,True,1,affection,affection,1
954,92,54,USA,f,married,y,90434,3m,I visited my sister,I visited my sister,True,1,affection,affection,1
955,92,54,USA,f,married,y,94872,3m,My daughter passed her cosmetology state board test,My daughter passed her cosmetology state board test,True,1,affection,affection,1
956,92,54,USA,f,married,y,98565,3m,Talked to my daughter on the phone,Talked to my daughter on the phone,True,1,affection,affection,1
957,92,54,USA,f,married,y,118075,24h,I spent the day with my husband ,I spent the day with my husband ,True,1,affection,affection,1
958,92,54,USA,f,married,y,122669,24h,Talked to my daughter on the phone,Talked to my daughter on the phone,True,1,affection,affection,1
979,95,37,USA,m,married,y,61962,3m,My wife and I had an amazing night out for her birthday.,My wife and I had an amazing night out for her birthday.,True,1,affection,affection,1
1028,98,34,USA,m,married,y,38409,24h,Seeing my son learn how to play the game of T-Ball in our front yard.,Seeing my son learn how to play the game of T-Ball in our front yard.,True,1,affection,affection,1
1029,98,34,USA,m,married,y,39408,24h,Taking my family out to eat for lunch and not having to wait to be seated.,Taking my family out to eat for lunch and not having to wait to be seated.,True,1,affection,affection,1
1031,98,34,USA,m,married,y,44688,24h,The fact that I got to let my children see their grand parents for several hours today.,The fact that I got to let my children see their grand parents for several hours today.,True,1,affection,affection,1
1035,98,34,USA,m,married,y,95906,3m,Being able to see my baby girl for more than I thought today after I got off work.,Being able to see my baby girl for more than I thought today after I got off work.,True,1,affection,affection,1
1051,100,34,USA,m,married,y,102685,3m,We enjoyed a fun family dinner out last night complete with chocolate fountain!,We enjoyed a fun family dinner out last night complete with chocolate fountain!,True,1,affection,affection,1
1052,100,34,USA,m,married,y,110876,24h,"My son helped me cook dinner last night, and he enjoyed having an important role!","My son helped me cook dinner last night, and he enjoyed having an important role!",True,1,affection,affection,1
1109,106,44,USA,f,married,y,105878,3m,My husband took me on a vacation that he planned.,My husband took me on a vacation that he planned.,True,1,affection,affection,1
1125,109,65,USA,m,married,y,113312,24h,I had pizza with my son for lunch.,I had pizza with my son for lunch.,True,1,affection,affection,1
1158,112,48,USA,f,married,y,51148,24h,My son found The Real Ghostbusters on Netflix so we sat down and watched a few cartoons together. ,My son found The Real Ghostbusters on Netflix so we sat down and watched a few cartoons together. ,True,1,affection,affection,1
1159,112,48,USA,f,married,y,69851,3m,I went to see my 10-year old son's choir concert.,I went to see my 10-year old son's choir concert.,True,1,affection,affection,1
1160,112,48,USA,f,married,y,87137,3m,My husband got a newer car which makes me happy because I was worried about him driving the old car. ,My husband got a newer car which makes me happy because I was worried about him driving the old car. ,True,1,affection,affection,1
1161,112,48,USA,f,married,y,95625,3m,My husband went to a cardiologist appointment and nothing was found wrong with his heart. ,My husband went to a cardiologist appointment and nothing was found wrong with his heart. ,True,1,affection,affection,1
1271,125,39,USA,o,married,y,35834,24h,We had a relative that we had not seen in years visit ,We had a relative that we had not seen in years visit ,True,1,affection,affection,1
1275,125,39,USA,o,married,y,73753,3m,Watching my son win compete in the regional science fair in the engineering category and win for his age group ,Watching my son win compete in the regional science fair in the engineering category and win for his age group ,True,1,affection,affection,1
1276,125,39,USA,o,married,y,83066,3m,An event that made me happy was 2 months ago when my son won the speech contest at school.,An event that made me happy was 2 months ago when my son won the speech contest at school.,True,1,affection,affection,1
1277,125,39,USA,o,married,y,97115,3m,Just the other day was happy to see my son make the summer swim team. ,Just the other day was happy to see my son make the summer swim team. ,True,1,affection,affection,1
1278,126,34,USA,m,married,y,37269,24h,I had dinner with my wife and daughter,I had dinner with my wife and daughter,True,1,affection,affection,1
1281,126,34,USA,m,married,y,48216,24h,Going for a walk with my wife,Going for a walk with my wife,True,1,affection,affection,1
1282,126,34,USA,m,married,y,58389,3m,I took my daughter to the beach for the first time,I took my daughter to the beach for the first time,True,1,affection,affection,1
1286,126,34,USA,m,married,y,112378,24h,Sharing a donut with daughter this morning,Sharing a donut with daughter this morning,True,1,affection,affection,1
1305,130,33,USA,f,married,y,39832,24h,My girls and I are relaxing together and watching cartoons.,My girls and I are relaxing together and watching cartoons.,True,1,affection,affection,1
1309,130,33,USA,f,married,y,105965,3m,I got to sleep in this weekend (on both days) past 8am which is always great when you have three young children in the house!,I got to sleep in this weekend (on both days) past 8am which is always great when you have three young children in the house!,True,1,affection,affection,1
1311,130,33,USA,f,married,y,110863,24h,"My daughters played dress up last night, and really had fun and got along with each other without making a disastrous mess!","My daughters played dress up last night, and really had fun and got along with each other without making a disastrous mess!",True,1,affection,affection,1
1416,139,30,USA,m,married,y,58647,3m,My wife gave birth to a son!,My wife gave birth to a son!,True,1,affection,affection,1
1418,139,30,USA,m,married,y,85527,3m,My son turned 1 years old and we had a party.,My son turned 1 years old and we had a party.,True,1,affection,affection,1
1442,143,29,USA,m,married,y,69307,3m,"My mother in law got a cash offer on a piece of property that she was selling, which will help make her life a little easier now.","My mother in law got a cash offer on a piece of property that she was selling, which will help make her life a little easier now.",True,1,affection,affection,1
1444,143,29,USA,m,married,y,99583,3m,my son threw me the ball for the first time.,my son threw me the ball for the first time.,True,1,affection,affection,1
1445,143,29,USA,m,married,y,100391,3m,"After marriage, there is a ritual where the bride goes with bridegroom to his home. This is called ""Bidai"" meaning ""beading farewell to bride"" all the relatives were grouped together for the ceremony. It is an emotional moment. I also remembered about my daughters ""beading farewell ceremony"" It was a very happy moment. ","After marriage, there is a ritual where the bride goes with bridegroom to his home. This is called ""Bidai"" meaning ""beading farewell to bride"" all the relatives were grouped together for the ceremony. It is an emotional moment. I also remembered about my daughters ""beading farewell ceremony"" It was a very happy moment. ",True,4,affection,affection,1
1446,143,29,USA,m,married,y,101391,3m,"My wife decided to start binge watching the office again, and i love that show.","My wife decided to start binge watching the office again, and i love that show.",True,1,affection,affection,1
1447,143,29,USA,m,married,y,107669,3m,my wife made herself a salad for lunch instead of eating her usual shit,my wife made herself a salad for lunch instead of eating her usual shit,True,1,affection,affection,1
1449,143,29,USA,m,married,y,117377,24h,my wife told me that she wanted to go with her mom somewhere for a couple days and take the kid...,my wife told me that she wanted to go with her mom somewhere for a couple days and take the kid...,True,1,affection,affection,1
1450,143,29,USA,m,married,y,118858,24h,"I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said ""Wait I am making one for you"" and she left her seat.I held her hand and said, ""Mumma! I am in some cooking mood. You have food, I will make a roti for me"". She said, ""Why will you work in kitchen while I am here?""I said, ""I want to make a roti"" and I left my seat. Sister popped up saying, ""Have this roti from mummy's plate, complete your lunch and then make a roti for mumma.""I said, ""Well! You are falling for a dangerous act.Hahahahah."" I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.","I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said ""Wait I am making one for you"" and she left her seat.I held her hand and said, ""Mumma! I am in some cooking mood. You have food, I will make a roti for me"". She said, ""Why will you work in kitchen while I am here?""I said, ""I want to make a roti"" and I left my seat. Sister popped up saying, ""Have this roti from mummy's plate, complete your lunch and then make a roti for mumma.""I said, ""Well! You are falling for a dangerous act.Hahahahah."" I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.",True,21,affection,affection,1
1452,143,29,USA,m,married,y,126984,24h,i saw a short video of my one year old son clapping and saying woof when he saw pictures of a dog.,i saw a short video of my one year old son clapping and saying woof when he saw pictures of a dog.,True,1,affection,affection,1
1496,148,40,USA,f,married,y,49941,24h,My husband was on TV twice talking about our upcoming symphony concert.,My husband was on TV twice talking about our upcoming symphony concert.,True,1,affection,affection,1
1497,148,40,USA,f,married,y,51941,24h,Me and my daughter made a cake for my husband to surprise him. ,Me and my daughter made a cake for my husband to surprise him. ,True,1,affection,affection,1
1498,148,40,USA,f,married,y,54884,24h,My daughter finally feels better after having bad cold. ,My daughter finally feels better after having bad cold. ,True,1,affection,affection,1
1499,148,40,USA,f,married,y,55805,24h,We made a family trip to Door County today. ,We made a family trip to Door County today. ,True,1,affection,affection,1
1501,148,40,USA,f,married,y,61620,3m,Me and my husband finally got a new garage. ,Me and my husband finally got a new garage. ,True,1,affection,affection,1
1502,148,40,USA,f,married,y,78550,3m,We had a picknick in a park with my family three days ago. ,We had a picknick in a park with my family three days ago. ,True,1,affection,affection,1
1504,148,40,USA,f,married,y,112223,24h,We hired a babysitter after a long time and had a date with my husband. ,We hired a babysitter after a long time and had a date with my husband. ,True,1,affection,affection,1
1505,148,40,USA,f,married,y,126442,24h,My daughter finally went to take a nap without arguing too much. ,My daughter finally went to take a nap without arguing too much. ,True,1,affection,affection,1
1517,150,69,USA,m,married,y,84734,3m,Taking my wife out for a much deserved date night and time of relaxation.,Taking my wife out for a much deserved date night and time of relaxation.,True,1,affection,affection,1
1520,150,69,USA,m,married,y,103929,3m,Attending a concert where my grandson played the piano after only starting this year.  He surprised us all by doing a great job. ,Attending a concert where my grandson played the piano after only starting this year.  He surprised us all by doing a great job. ,True,2,affection,affection,1
1521,150,69,USA,m,married,y,109032,3m,Talked with my son and learned that he just received an excellent opportunity for promotion.,Talked with my son and learned that he just received an excellent opportunity for promotion.,True,1,affection,affection,1
1529,152,30,USA,m,married,y,34859,24h,I was able to pick up my daughter from school. ,I was able to pick up my daughter from school. ,True,1,affection,affection,1
1530,152,30,USA,m,married,y,38531,24h,I watched my daughter's gymnastics class. ,I watched my daughter's gymnastics class. ,True,1,affection,affection,1
1532,152,30,USA,m,married,y,65158,3m,I was able to play outside with my kids. ,I was able to play outside with my kids. ,True,1,affection,affection,1
1533,152,30,USA,m,married,y,92296,3m,I spent the week with my son.,I spent the week with my son.,True,1,affection,affection,1
1535,152,30,USA,m,married,y,112794,24h,My wife and I came to an agreement on a problem.,My wife and I came to an agreement on a problem.,True,1,affection,affection,1
1539,153,55,USA,f,married,y,111431,24h,I watched a DVD with my kids at their dance show.,I watched a DVD with my kids at their dance show.,True,1,affection,affection,1
1541,153,55,USA,f,married,y,124653,24h,We went to a meeting to finalize plans for my daughter to travel to Spain.,We went to a meeting to finalize plans for my daughter to travel to Spain.,True,1,affection,affection,1
1544,154,32,USA,f,married,n,87482,3m,I got to see my aunt on a visit last week after a long time apart.,I got to see my aunt on a visit last week after a long time apart.,True,1,affection,affection,1
1547,154,32,USA,f,married,n,117461,24h,My cats snuggled me during lunch.,My cats snuggled me during lunch.,True,1,affection,affection,1
1579,156,47,USA,f,married,n,27899,24h,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself. ,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself. ,True,1,affection,affection,1
1586,156,47,USA,f,married,n,98520,3m,I received a beautiful card from my aunt and her only purpose was to tell me how much she loved me.,I received a beautiful card from my aunt and her only purpose was to tell me how much she loved me.,True,1,affection,affection,1
1587,156,47,USA,f,married,n,101036,3m,I spent a simple evening with my husband watching a TV show and caressing his hair while doing so.,I spent a simple evening with my husband watching a TV show and caressing his hair while doing so.,True,1,affection,affection,1
1590,156,47,USA,f,married,n,117849,24h,I watched a TV show with my husband and being close to him felt wonderful.,I watched a TV show with my husband and being close to him felt wonderful.,True,1,affection,affection,1
1617,160,37,USA,m,married,y,32914,24h,My 3-year-old daughter wanted to have dinner just me and her out on our deck.,My 3-year-old daughter wanted to have dinner just me and her out on our deck.,True,1,affection,affection,1
