,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
407,36,37,USA,m,single,n,89388,3m,I finished moving a lot of items into a storage facility.,I finished moving a lot of items into a storage facility.,True,1,achievement,achievement,1
409,36,37,USA,m,single,n,99457,3m,I won an online raffle.,I won an online raffle.,True,1,achievement,achievement,1
410,36,37,USA,m,single,n,101376,3m,I finished repainting something that was in need of repair.,I finished repainting something that was in need of repair.,True,1,achievement,achievement,1
411,37,23,USA,m,single,n,32847,24h,I was able to get to work on time even though I woke up late. ,I was able to get to work on time even though I woke up late. ,True,1,achievement,achievement,1
413,37,23,USA,m,single,n,74242,3m,I was able to find a box of Magic The Gathering cards for very cheap at a garage sale. ,I was able to find a box of Magic The Gathering cards for very cheap at a garage sale. ,True,1,achievement,achievement,1
417,37,23,USA,m,single,n,95813,3m,I saved enough money to preorder a special edition of a game I've been wanting to play for awhile. ,I saved enough money to preorder a special edition of a game I've been wanting to play for awhile. ,True,1,achievement,achievement,1
456,42,32,USA,m,single,n,34469,24h,"I got gas just as the price was jumping up about 40 cents, so timing was on my side for sure.","I got gas just as the price was jumping up about 40 cents, so timing was on my side for sure.",True,1,achievement,achievement,1
457,42,32,USA,m,single,n,43836,24h,I was promoted by the manager and they said nice things about me to others.,I was promoted by the manager and they said nice things about me to others.,True,1,achievement,achievement,1
459,42,32,USA,m,single,n,56839,24h,My supervisor told me I could have Sunday off for doing such a great job.,My supervisor told me I could have Sunday off for doing such a great job.,True,1,achievement,achievement,1
462,42,32,USA,m,single,n,84677,3m,I did a good job at work and the supervisors seemed to appreciate my attention to detail and drive.,I did a good job at work and the supervisors seemed to appreciate my attention to detail and drive.,True,1,achievement,achievement,1
465,42,32,USA,m,single,n,93417,3m,I made lots of money and the tasks assigned to me were of low difficulty.,I made lots of money and the tasks assigned to me were of low difficulty.,True,1,achievement,achievement,1
467,42,32,USA,m,single,n,102442,3m,I made a finical decision today that allowed me to earn plenty of interest over the next two years.,I made a finical decision today that allowed me to earn plenty of interest over the next two years.,True,1,achievement,achievement,1
469,42,32,USA,m,single,n,112563,24h,I pretty much did nothing the whole day and still got compensated as I'm on a vacation right now.,I pretty much did nothing the whole day and still got compensated as I'm on a vacation right now.,True,1,achievement,achievement,1
470,42,32,USA,m,single,n,120044,24h,"Although the weather was somewhat gloomy outside, the indoors was ideal for working and I could accomplish quite a bit today.","Although the weather was somewhat gloomy outside, the indoors was ideal for working and I could accomplish quite a bit today.",True,1,achievement,achievement,1
483,44,42,USA,f,single,n,43596,24h,I bought some flowers for my yards.,I bought some flowers for my yards.,True,1,achievement,achievement,1
486,44,42,USA,f,single,n,82311,3m,I finally managed to organize some dime store like items I had.,I finally managed to organize some dime store like items I had.,True,1,achievement,achievement,1
489,44,42,USA,f,single,n,105481,3m,I found a piece of special candy I had been looking for.,I found a piece of special candy I had been looking for.,True,1,achievement,achievement,1
491,44,42,USA,f,single,n,125192,24h,I got some great food at 75% off at a grocery store that is closing.,I got some great food at 75% off at a grocery store that is closing.,True,1,achievement,achievement,1
499,46,29,USA,m,single,n,43604,24h,"Despite only getting a little over four hour sleep, I still had a great workout today after I finished up my job.","Despite only getting a little over four hour sleep, I still had a great workout today after I finished up my job.",True,1,achievement,achievement,1
501,46,29,USA,m,single,n,57187,24h,I was able to get all of the bills paid and still had money left over to treat myself!,I was able to get all of the bills paid and still had money left over to treat myself!,True,1,achievement,achievement,1
502,46,29,USA,m,single,n,77506,3m,"I have almost achieved my weight loss goal of around 25 pounds, being down to 215 with only 15 more to go!","I have almost achieved my weight loss goal of around 25 pounds, being down to 215 with only 15 more to go!",True,1,achievement,achievement,1
503,46,29,USA,m,single,n,84582,3m,"Today at work, we were able to work from home the last four hours of the day and we will be also at home tomorrow all day.","Today at work, we were able to work from home the last four hours of the day and we will be also at home tomorrow all day.",True,1,achievement,achievement,1
505,46,29,USA,m,single,n,100631,3m,"Today we got the email saying that we were aloud to work from home tomorrow, meaning our department had a very high production week.","Today we got the email saying that we were aloud to work from home tomorrow, meaning our department had a very high production week.",True,1,achievement,achievement,1
619,59,43,USA,m,single,n,108640,3m,I had some very good ice cream two nights ago.,I had some very good ice cream two nights ago.,True,1,achievement,enjoy_the_moment,1
628,60,29,USA,m,single,n,115729,24h,I was able to find a nice new place to live that is also highly affordable.,I was able to find a nice new place to live that is also highly affordable.,True,1,achievement,achievement,1
644,63,25,USA,m,single,n,42468,24h,Ate a banana in record time.,Ate a banana in record time.,True,1,achievement,achievement,1
647,63,25,USA,m,single,n,65050,3m,I won a race in 5k.,I won a race in 5k.,True,1,achievement,achievement,1
648,63,25,USA,m,single,n,69742,3m,I ate a very healthy meal daily.,I ate a very healthy meal daily.,True,1,achievement,achievement,1
649,63,25,USA,m,single,n,86437,3m,Found a full time job finally.,Found a full time job finally.,True,1,achievement,achievement,1
651,63,25,USA,m,single,n,94613,3m,Bought a flight to Europe!,Bought a flight to Europe!,True,1,achievement,achievement,1
652,63,25,USA,m,single,n,97467,3m,Finished my mobile app work.,Finished my mobile app work.,True,1,achievement,achievement,1
681,66,41,USA,f,single,n,113754,24h,I tried a new shampoo and conditioner and I really like the way my hair smells.,I tried a new shampoo and conditioner and I really like the way my hair smells.,True,1,achievement,achievement,1
697,68,37,USA,m,single,y,70002,3m,I JUST GOT MY BACK PATIO AREA CLEANED!,I JUST GOT MY BACK PATIO AREA CLEANED!,True,1,achievement,achievement,1
698,68,37,USA,m,single,y,90213,3m,"The garbage man had not passed, so I was able to save something I didn't want to throw away.","The garbage man had not passed, so I was able to save something I didn't want to throw away.",True,1,achievement,achievement,1
699,68,37,USA,m,single,y,98232,3m,"I made over $5,000 today from investments!!","I made over $5,000 today from investments!!",True,2,achievement,achievement,1
700,68,37,USA,m,single,y,100232,3m,I got a fat check yesterday from selling my former home.,I got a fat check yesterday from selling my former home.,True,1,achievement,achievement,1
702,68,37,USA,m,single,y,113640,24h,i was able to max out my deliveries today.,i was able to max out my deliveries today.,True,1,achievement,achievement,1
820,77,29,USA,m,single,n,38888,24h,I tried the new snapchat filter with the dancing bunny.,I tried the new snapchat filter with the dancing bunny.,True,1,achievement,achievement,1
826,77,29,USA,m,single,n,77881,3m,I got a free upgrade to business class on my flight.,I got a free upgrade to business class on my flight.,True,1,achievement,achievement,1
828,77,29,USA,m,single,n,115947,24h,Some new headphones I got from Amazon came in the mail.,Some new headphones I got from Amazon came in the mail.,True,1,achievement,achievement,1
848,80,23,USA,o,single,n,79351,3m,"Last Friday I realized that I could afford my first bellydance costume, as well as a bunch of crafting notions. Financial stability feels really cool. ","Last Friday I realized that I could afford my first bellydance costume, as well as a bunch of crafting notions. Financial stability feels really cool. ",True,2,achievement,achievement,1
852,80,23,USA,o,single,n,126901,24h,"I successfully rolled out the perpetual knots in my calves last night (after a week of work), and my posture and foot pain have improved drastically. ","I successfully rolled out the perpetual knots in my calves last night (after a week of work), and my posture and foot pain have improved drastically. ",True,1,achievement,achievement,1
859,82,53,USA,f,single,n,36788,24h,I finished up a week-long project today.,I finished up a week-long project today.,True,1,achievement,achievement,1
861,82,53,USA,f,single,n,49183,24h,I made a coffee cake at home.,I made a coffee cake at home.,True,1,achievement,achievement,1
865,83,30,USA,m,single,n,40003,24h,I received a phone call yesterday to inform me that I had passed the first round of interviews for this position I really want.,I received a phone call yesterday to inform me that I had passed the first round of interviews for this position I really want.,True,1,achievement,achievement,1
867,83,30,USA,m,single,n,67788,3m,"I landed an excellent summer teaching opportunity, so I am looking forward to the months ahead.","I landed an excellent summer teaching opportunity, so I am looking forward to the months ahead.",True,1,achievement,achievement,1
870,83,30,USA,m,single,n,81650,3m,"I received positive news on my credit score and line of credit today, so I am getting closer to home ownership.","I received positive news on my credit score and line of credit today, so I am getting closer to home ownership.",True,1,achievement,achievement,1
872,83,30,USA,m,single,n,95676,3m,"My car insurance premium went down significantly this month, after a long period of high premiums.","My car insurance premium went down significantly this month, after a long period of high premiums.",True,1,achievement,achievement,1
874,83,30,USA,m,single,n,117015,24h,"I received two new job leads today, both better than my previous ones, so I am eager to see if one of them at least will turn into an interview.","I received two new job leads today, both better than my previous ones, so I am eager to see if one of them at least will turn into an interview.",True,1,achievement,achievement,1
902,86,27,USA,m,single,n,33254,24h,I was able to plan out my finances for the month and I felt accomplished. ,I was able to plan out my finances for the month and I felt accomplished. ,True,1,achievement,achievement,1
904,86,27,USA,m,single,n,116767,24h,I paid off two major bills that I had been chipping away at for months. ,I paid off two major bills that I had been chipping away at for months. ,True,1,achievement,achievement,1
906,87,36,USA,f,single,n,43655,24h,I was able to sleep in this morning.,I was able to sleep in this morning.,True,1,achievement,leisure,1
907,87,36,USA,f,single,n,44654,24h,I found out I am getting a nice tax return.,I found out I am getting a nice tax return.,True,1,achievement,achievement,1
909,87,36,USA,f,single,n,67824,3m,A lot of people are buying tickets for the fundraiser I am planning.,A lot of people are buying tickets for the fundraiser I am planning.,True,1,achievement,achievement,1
910,87,36,USA,f,single,n,82713,3m,My client did well on a couple of her goals today.,My client did well on a couple of her goals today.,True,1,achievement,achievement,1
913,87,36,USA,f,single,n,99572,3m,I got a lot of work done this afternoon.,I got a lot of work done this afternoon.,True,1,achievement,achievement,1
914,87,36,USA,f,single,n,115838,24h,I just did a really easy hit that paid almost $4.,I just did a really easy hit that paid almost $4.,True,1,achievement,achievement,1
915,87,36,USA,f,single,n,119025,24h,I got an unexpected extra prep period today at work.,I got an unexpected extra prep period today at work.,True,1,achievement,achievement,1
916,87,36,USA,f,single,n,123540,24h,The conference call I was on today was really productive.,The conference call I was on today was really productive.,True,1,achievement,achievement,1
917,87,36,USA,f,single,n,125712,24h,I was able to sleep in this morning.,I was able to sleep in this morning.,True,1,achievement,leisure,1
927,89,36,USA,f,single,n,35088,24h,A business client walked in and we did business together. I had previously approached the client a couple of times and finally she walking in today. She walked away happy as did I.,A business client walked in and we did business together. I had previously approached the client a couple of times and finally she walking in today. She walked away happy as did I.,True,3,achievement,achievement,1
929,89,36,USA,f,single,n,49543,24h,I got accepted for another assignment for the summer today. I had applied last week and my acceptance letter came today. Great!!!,I got accepted for another assignment for the summer today. I had applied last week and my acceptance letter came today. Great!!!,True,4,achievement,achievement,1
930,89,36,USA,f,single,n,51543,24h,I created a flyer for an business open house we are holding at work on Saturday. My boss loved it,I created a flyer for an business open house we are holding at work on Saturday. My boss loved it,True,2,achievement,achievement,1
932,89,36,USA,f,single,n,78361,3m,I am happy that I found a nice pair of goggles today. Now I can start grinding off the old paint on my iron fence and repaint it.,I am happy that I found a nice pair of goggles today. Now I can start grinding off the old paint on my iron fence and repaint it.,True,2,achievement,achievement,1
935,89,36,USA,f,single,n,99728,3m,"I found some old unopened caulking I can use on my gutters outside. Yes, now I don't have to go to the store and buy.","I found some old unopened caulking I can use on my gutters outside. Yes, now I don't have to go to the store and buy.",True,2,achievement,achievement,1
936,89,36,USA,f,single,n,105639,3m,I finally started to walk better after having an operation a few days ago.,I finally started to walk better after having an operation a few days ago.,True,1,achievement,achievement,1
938,89,36,USA,f,single,n,110372,24h,I was late to an appointment and they still saw me within a few minutes,I was late to an appointment and they still saw me within a few minutes,True,1,achievement,achievement,1
942,91,29,USA,m,single,n,53647,24h,Getting one of my best step days in.,Getting one of my best step days in.,True,1,achievement,achievement,1
948,91,29,USA,m,single,n,125171,24h,Getting OT in at work done.,Getting OT in at work done.,True,1,achievement,achievement,1
960,93,35,USA,m,single,y,45984,24h,My doctor gave me a good outlook on my back injury.,My doctor gave me a good outlook on my back injury.,True,1,achievement,achievement,1
961,93,35,USA,m,single,y,74209,3m,I bought a new work laptop,I bought a new work laptop,True,1,achievement,achievement,1
964,93,35,USA,m,single,y,89146,3m,I finally got some answers from my doctor regarding stomach issues.,I finally got some answers from my doctor regarding stomach issues.,True,1,achievement,achievement,1
966,93,35,USA,m,single,y,99720,3m,I got some test results back from the doctor that were good.,I got some test results back from the doctor that were good.,True,1,achievement,achievement,1
967,93,35,USA,m,single,y,115799,24h,Went looking for a new car.,Went looking for a new car.,True,1,achievement,achievement,1
971,94,28,USA,m,single,n,48835,24h,Started the new Zelda.,Started the new Zelda.,True,1,achievement,achievement,1
972,94,28,USA,m,single,n,54808,24h,Remembered a password for an email I'd lost.,Remembered a password for an email I'd lost.,True,1,achievement,achievement,1
974,94,28,USA,m,single,n,61846,3m,Finished a project.,Finished a project.,True,1,achievement,achievement,1
1016,97,29,USA,m,single,n,54991,24h,Completing the fire academy.,Completing the fire academy.,True,1,achievement,achievement,1
1017,97,29,USA,m,single,n,55991,24h,Becoming a firefighter ,Becoming a firefighter ,True,1,achievement,achievement,1
1018,97,29,USA,m,single,n,61599,3m,Getting a raise from work. ,Getting a raise from work. ,True,1,achievement,achievement,1
1019,97,29,USA,m,single,n,69884,3m,Receiving money for graduating school ,Receiving money for graduating school ,True,1,achievement,achievement,1
1025,97,29,USA,m,single,n,117477,24h,Selling my stocks and making money,Selling my stocks and making money,True,1,achievement,achievement,1
1026,97,29,USA,m,single,n,120698,24h,Finishing up school this semester ,Finishing up school this semester ,True,1,achievement,achievement,1
1039,99,38,USA,m,single,n,81578,3m,I got a new idea for a book that I'm working on.,I got a new idea for a book that I'm working on.,True,1,achievement,achievement,1
1041,99,38,USA,m,single,n,108057,3m,I prepared a nice meal for my girlfriend and she liked it.,I prepared a nice meal for my girlfriend and she liked it.,True,1,achievement,affection,1
1077,103,26,USA,f,single,y,64351,3m,I exceeded my weight loss goal towards the end of February.,I exceeded my weight loss goal towards the end of February.,True,1,achievement,achievement,1
1113,107,37,USA,m,single,y,87379,3m,I automated some processes at work that will save us lots of money.,I automated some processes at work that will save us lots of money.,True,1,achievement,achievement,1
1114,107,37,USA,m,single,y,128679,24h,I made our new house that we just bought look better by getting things put away.,I made our new house that we just bought look better by getting things put away.,True,1,achievement,achievement,1
1117,108,26,USA,m,single,n,55577,24h,I accepted an offer to begin a PhD program.,I accepted an offer to begin a PhD program.,True,1,achievement,achievement,1
1120,108,26,USA,m,single,n,112698,24h,My office gained a person. ,My office gained a person. ,True,1,achievement,achievement,1
1156,111,35,USA,o,single,y,81326,3m,High school ceremony for kids who reached milestones for various academics levels and my daughter received one.,High school ceremony for kids who reached milestones for various academics levels and my daughter received one.,True,1,achievement,achievement,1
1157,111,35,USA,o,single,y,103311,3m,school presentation naming all the student who had read 500 books through out the school year,school presentation naming all the student who had read 500 books through out the school year,True,1,achievement,achievement,1
1164,113,59,USA,f,single,n,39265,24h,I managed to get a large section of the chopped down palm tree into the garbage can.,I managed to get a large section of the chopped down palm tree into the garbage can.,True,1,achievement,achievement,1
1166,113,59,USA,f,single,n,43284,24h,I stayed up until 5am turking and made $20.,I stayed up until 5am turking and made $20.,True,1,achievement,achievement,1
1168,113,59,USA,f,single,n,49241,24h,I got my brother to his lab appointment on time this afternoon.,I got my brother to his lab appointment on time this afternoon.,True,1,achievement,affection,1
1175,113,59,USA,f,single,n,121786,24h,"I am very happy that finally after hardly finding work to do on Mturk from noon to 4pm, I suddenly found $10 worth in the last 2 hours.","I am very happy that finally after hardly finding work to do on Mturk from noon to 4pm, I suddenly found $10 worth in the last 2 hours.",True,1,achievement,achievement,1
1209,117,22,USA,m,single,n,69803,3m,I got a free gift card to Starbucks,I got a free gift card to Starbucks,True,1,achievement,achievement,1
1211,117,22,USA,m,single,n,105519,3m,I got employee of the month award for this month,I got employee of the month award for this month,True,1,achievement,achievement,1
1216,118,34,USA,f,single,n,93281,3m,I got free pizza at work last Friday. ,I got free pizza at work last Friday. ,True,1,achievement,achievement,1
1218,118,34,USA,f,single,n,97309,3m,I got a job interview for a higher-paying job yesterday. ,I got a job interview for a higher-paying job yesterday. ,True,1,achievement,achievement,1
1220,118,34,USA,f,single,n,111325,24h,Somebody at work complimented me on my hair cut. ,Somebody at work complimented me on my hair cut. ,True,1,achievement,achievement,1
1221,118,34,USA,f,single,n,113773,24h,I got recognized for doing a good job on a project at work. ,I got recognized for doing a good job on a project at work. ,True,1,achievement,achievement,1
1222,118,34,USA,f,single,n,121499,24h,I had a good day at work and finally finished everything. ,I had a good day at work and finally finished everything. ,True,1,achievement,achievement,1
1259,122,32,USA,m,single,n,58447,3m,I just received and email for a job interview this week.,I just received and email for a job interview this week.,True,1,achievement,achievement,1
1264,124,28,USA,m,single,n,69842,3m,I invested in a new bathroom.,I invested in a new bathroom.,True,1,achievement,achievement,1
1295,128,25,USA,f,single,n,29125,24h,I made a delicious breakfast.,I made a delicious breakfast.,True,1,achievement,achievement,1
1297,128,25,USA,f,single,n,107470,3m,I made a delicious breakfast.,I made a delicious breakfast.,True,1,achievement,achievement,1
1298,128,25,USA,f,single,n,117545,24h,I got a new computer.,I got a new computer.,True,1,achievement,achievement,1
1299,129,25,USA,m,single,n,34376,24h,I finished work early,I finished work early,True,1,achievement,achievement,1
1301,129,25,USA,m,single,n,53979,24h,I made some money,I made some money,True,1,achievement,achievement,1
1302,129,25,USA,m,single,n,92273,3m,I finished my work early,I finished my work early,True,1,achievement,achievement,1
1303,129,25,USA,m,single,n,102273,3m,I ate a great lunch ,I ate a great lunch ,True,1,achievement,enjoy_the_moment,1
1304,129,25,USA,m,single,n,123267,24h,I was able to finish work early,I was able to finish work early,True,1,achievement,achievement,1
1318,131,32,USA,m,single,n,86794,3m,I found a bike trail that I didn't know about before.,I found a bike trail that I didn't know about before.,True,1,achievement,achievement,1
1320,131,32,USA,m,single,n,105648,3m,I met a new business contact.,I met a new business contact.,True,1,achievement,achievement,1
1349,133,40,USA,m,single,n,69631,3m,I reached a goal I had set for myself in terms of saving money.,I reached a goal I had set for myself in terms of saving money.,True,1,achievement,achievement,1
1353,133,40,USA,m,single,n,103377,3m,I finally had new tile put down in my kitchen.,I finally had new tile put down in my kitchen.,True,1,achievement,achievement,1
1354,133,40,USA,m,single,n,104376,3m,"I earned $100 on MTurk for the month, a new record for me.","I earned $100 on MTurk for the month, a new record for me.",True,1,achievement,achievement,1
1355,133,40,USA,m,single,n,105375,3m,I finally got new tires and my truck runs smoother.,I finally got new tires and my truck runs smoother.,True,1,achievement,achievement,1
1363,134,37,USA,f,single,n,76268,3m,I got the job that I wanted. ,I got the job that I wanted. ,True,1,achievement,achievement,1
1429,141,35,USA,m,single,n,38871,24h,I was able to catch a hit on mturk that I've been trying to do for a while now.,I was able to catch a hit on mturk that I've been trying to do for a while now.,True,1,achievement,achievement,1
1433,141,35,USA,m,single,n,109182,3m,Lots of people received their masters qualification today on mturk and I am happy for them.,Lots of people received their masters qualification today on mturk and I am happy for them.,True,1,achievement,achievement,1
1434,141,35,USA,m,single,n,117378,24h,I was able to get my phone bill reduced from AT&T.,I was able to get my phone bill reduced from AT&T.,True,1,achievement,achievement,1
1468,145,29,USA,f,single,n,35090,24h,I was happy when I received a new book from the library.  ,I was happy when I received a new book from the library.  ,True,1,achievement,achievement,1
1470,145,29,USA,f,single,n,51541,24h,"I was happy when I found 5 dollars in my pocket that I had left last winter - it felt like winning a mini lottery!
","I was happy when I found 5 dollars in my pocket that I had left last winter - it felt like winning a mini lottery!
",True,1,achievement,achievement,1
1471,145,29,USA,f,single,n,55465,24h,I was happy today when I was very productive and got many chores done.  ,I was happy today when I was very productive and got many chores done.  ,True,1,achievement,achievement,1
1476,145,29,USA,f,single,n,104956,3m,"I was happy when I cooked a new recipe, and it was a big hit.  ","I was happy when I cooked a new recipe, and it was a big hit.  ",True,1,achievement,achievement,1
1487,147,31,USA,m,single,n,75521,3m,I got all my tires changed on my truck,I got all my tires changed on my truck,True,1,achievement,achievement,1
1488,147,31,USA,m,single,n,97294,3m,Was able to buy new running shoes,Was able to buy new running shoes,True,1,achievement,achievement,1
1491,147,31,USA,m,single,n,104220,3m,I bought some new shoes,I bought some new shoes,True,1,achievement,achievement,1
1493,147,31,USA,m,single,n,116711,24h,I ordered a rare beer online I had been looking for a very long time,I ordered a rare beer online I had been looking for a very long time,True,1,achievement,achievement,1
1524,151,28,USA,m,single,n,47926,24h,A bunch of my tough files finally got the concurrence they needed to proceed and move forward.,A bunch of my tough files finally got the concurrence they needed to proceed and move forward.,True,1,achievement,achievement,1
1527,151,28,USA,m,single,n,95832,3m,I was able to fix up the front of my new home all by myself. ,I was able to fix up the front of my new home all by myself. ,True,1,achievement,achievement,1
1637,162,23,USA,m,single,n,69261,3m,I went to the dentist to get a filling and the bill was lower than I expected.,I went to the dentist to get a filling and the bill was lower than I expected.,True,1,achievement,achievement,1
1640,162,23,USA,m,single,n,103493,3m,I upgraded my phone.,I upgraded my phone.,True,1,achievement,achievement,1
1686,166,54,USA,f,single,n,35694,24h,"A neighbor's 13 year old boy did some yard work at my home, did a fantastic job and the garden area is looking great!","A neighbor's 13 year old boy did some yard work at my home, did a fantastic job and the garden area is looking great!",True,1,achievement,achievement,1
1689,166,54,USA,f,single,n,80858,3m,The new laser engraving machine at work is up and running and am working on paid jobs.,The new laser engraving machine at work is up and running and am working on paid jobs.,True,1,achievement,achievement,1
1691,166,54,USA,f,single,n,92754,3m,Ordered the last of the lumber that I need to build my bridge and found out that it will be delivered tomorrow.,Ordered the last of the lumber that I need to build my bridge and found out that it will be delivered tomorrow.,True,1,achievement,achievement,1
1693,166,54,USA,f,single,n,103517,3m,I finally finished the sanding and scraping of paint on my front deck.,I finally finished the sanding and scraping of paint on my front deck.,True,1,achievement,achievement,1
1699,167,34,USA,m,single,n,75318,3m,I beat a game.,I beat a game.,True,1,achievement,achievement,1
1700,167,34,USA,m,single,n,79386,3m,I did some deep analysis that turned out almost completely correct.,I did some deep analysis that turned out almost completely correct.,True,1,achievement,achievement,1
1702,167,34,USA,m,single,n,91366,3m,I started a meme that caught on.,I started a meme that caught on.,True,1,achievement,achievement,1
1703,168,28,USA,m,single,n,34549,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1704,168,28,USA,m,single,n,45305,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1705,168,28,USA,m,single,n,46868,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1706,168,28,USA,m,single,n,54348,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1708,168,28,USA,m,single,n,82699,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1709,168,28,USA,m,single,n,86932,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1710,168,28,USA,m,single,n,88355,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1711,168,28,USA,m,single,n,91598,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1712,168,28,USA,m,single,n,94679,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1713,168,28,USA,m,single,n,98425,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1714,168,28,USA,m,single,n,100735,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1715,168,28,USA,m,single,n,106638,3m,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
1716,168,28,USA,m,single,n,112328,24h,Achieved a new fitness goal of mine.,Achieved a new fitness goal of mine.,True,1,achievement,achievement,1
